,juso,경도,위도
316,전라남도 무안군 몽탄면 귀학길 138-12,126.485877316,34.918311167
317,전라북도 완주군 비봉면 대치로 505-20,127.165590240,36.045576209
318,,,
319,충청북도 음성군 음성읍 덕생로504번길 29-30,127.625604162,36.907993621
320,전라북도 임실군 덕치면 장암1길 7-11,127.153093402,35.487707288
321,강원도 원주시 치악로 1413-16 (관설동),127.972280020,37.311751117
322,강원도 원주시 지정면 소금산길 168,127.818998583,37.367141769
323,경상북도 안동시 길안면 기와집길 72,128.934313588,36.452954732
324,경상북도 상주시 화북면 입석3길 65-25,127.887722410,36.623600441
325,충청남도 서산시 고북면 내포로 2236-21,126.537187498,36.681190101
326,인천광역시 강화군 삼산면 삼산남로604번길 6-37,126.338622396,37.674958587
327,충청남도 보령시 남포면 개목수리섬길 121,126.559126969,36.286969140
328,충청북도 음성군 금왕읍 백야로 490,127.599020586,36.953577484
329,경기도 양주시 장흥면 호국로550번길 102-187,126.982306388,37.713596413
330,경상북도 문경시 영순면 말응아랫마길 33,128.252437276,36.541708618
331,경기도 동두천시 평화로 3172-1 (하봉암동),127.068884088,37.969321112
332,강원도 횡성군 갑천면 외갑천로 538,128.063626033,37.564973571
333,,,
334,전라북도 군산시 옥구읍 남군산로 1472-8,126.681517631,35.897302849
335,경기도 평택시 장안길 82-74 (장안동),127.086028004,37.059922043
336,경상북도 안동시 양골길 175-40 (상아동),128.742765039,36.572646698
337,전라남도 진도군 고군면 동부해안로 509-13,126.379142294,34.502009993
338,광주광역시 광산구 남동길 40 (도산동),126.788793894,35.130565207
339,전라북도 부안군 하서면 석불산길 138,126.641826284,35.726732442
340,경상북도 상주시 화동면 이소5길 7-12,127.956739723,36.390220279
341,전라북도 부안군 진서면 구름호수길 123-18,126.553467745,35.602013691
342,경상남도 통영시 용남면 장문로 319-15,128.436570252,34.888093968
343,전라남도 화순군 이양면 소리실길 212,127.011562259,34.946148341
344,전라남도 화순군 동복면 구암길 121-2,127.137217794,35.048095560
345,,,
346,전라남도 해남군 문내면 우수영로 702-11,126.295236859,34.628808485
347,세종특별자치시 장군면 봉안고개길 33,127.225667308,36.501020972
348,,,
349,전라남도 고흥군 영남면 우천우두길 24-62,127.493611314,34.627825201
350,전라북도 군산시 서수면 신구1길 88,126.893418312,36.012054724
351,인천광역시 계양구 다남로143번길 40 (다남동),126.723593885,37.567636533
352,경상북도 영양군 일월면 벌매길 156,129.133963929,36.786220485
353,광주광역시 광산구 본동로 112 (명도동),126.688792306,35.167762858
354,전라남도 영암군 덕진면 장등길 31,126.717763866,34.820512080
355,전라남도 고흥군 금산면 노랑바윗길 15-6,127.219925089,34.462080716
356,경상남도 거창군 고제면 원탑선길 37,127.870199970,35.897671686
357,전라남도 구례군 마산면 광의어덕촌길 57-6,127.463949454,35.227138925
358,,,
359,경상북도 영양군 수비면 상죽파길 88-47,129.228326679,36.725338300
360,경상북도 상주시 공성면 큰재길 141,128.045237167,36.294441273
361,전라북도 군산시 개정면 신동화2길 5-7,126.804159974,35.948129798
362,경상북도 문경시 문경읍 관음1길 130,128.163993377,36.803587581
363,전라남도 화순군 동복면 구암길 121-2,127.137217794,35.048095560
364,경상북도 청도군 매전면 내동길 106-36,128.833490678,35.609694343
365,전라북도 고창군 공음면 유정길 12-5,126.539432015,35.404215645
366,전라남도 함평군 엄다면 석천동길 79,126.504514718,35.016522568
367,,,
368,경상북도 칠곡군 기산면 각산찰전길 58-26,128.329904053,35.991249774
369,전라남도 목포시 율도금수동길 21 (율도동),126.327191972,34.810687020
370,전라남도 화순군 이양면 연화동길 170,127.021776747,34.854106016
371,충청남도 천안시 서북구 성거읍 궝말2길 6-7,127.184125588,36.862346798
372,전라남도 고흥군 포두면 내산길 11,127.368519855,34.543825702
373,경상북도 안동시 노하4길 12-3 (노하동),128.687976636,36.579017716
374,경상북도 안동시 미륵당길 308-125 (옥동),128.695457585,36.553265269
375,경상북도 영천시 신녕면 신화로 223-9,128.811929304,36.048257259
376,강원도 양양군 강현면 강선중앙길13번길 12,128.595565407,38.150276273
377,경상북도 예천군 감천면 자봉길 179-18,128.485004093,36.748449367
378,전라북도 고창군 대산면 덕천동촌길 55,126.577702833,35.352766084
379,울산광역시 울주군 언양읍 반구대로 861-4,129.127619883,35.566908566
380,경상북도 포항시 북구 흥해읍 영일만산단남로117번길 71,129.412905659,36.099683686
381,경상북도 경주시 강동면 천강로 762-9,129.295628976,35.952404788
382,경상북도 칠곡군 기산면 각산찰전길 58-26,128.329904053,35.991249774
383,경상북도 영양군 입암면 영양로 478-17,129.090680651,36.576172002
384,울산광역시 울주군 삼동면 출강길 75,129.169916331,35.508530920
385,울산광역시 울주군 두동면 천전각석길 114,129.177173395,35.617173311
386,경상북도 성주군 초전면 자양길 108,128.246240846,35.977602153
387,경상북도 상주시 외서면 가곡3길 75,128.089331515,36.474958307
388,경상북도 경주시 건천읍 부산성길 271-20,129.058011760,35.848010588
389,경상북도 울진군 기성면 사동1길 226-27,129.445176374,36.829508715
390,전라남도 고흥군 과역면 원당길 45-20,127.468914662,34.666632840
391,경상북도 경주시 산업로 3128-30 (조양동),129.288906810,35.783850527
392,경상북도 성주군 성주읍 본성로 902,128.296575126,35.904891267
393,울산광역시 울주군 청량읍 율리영해1길 145-25,129.230355928,35.528151833
394,경상북도 칠곡군 가산면 용매로 644-9,128.607723128,36.074817779
395,경상북도 문경시 문경읍 관음1길 130,128.163993377,36.803587581
396,경상북도 안동시 노하1길 108 (노하동),128.677015304,36.581750270
397,경상북도 문경시 문경읍 관음1길 130,128.163993377,36.803587581
398,경상북도 성주군 벽진면 장기2길 63,128.200890823,35.951172056
399,광주광역시 동구 조선대길 164 (서석동),126.934383392,35.144274103
