연번,명칭,높이(m),경도(E),위도(N)
472,계봉,547.5,127.8738667,35.088825
473,마산,407.1,127.915,35.0859194
474,남산,45.1,127.7595389,35.0364972
475,양경산,144.6,127.8296361,35.0297389
476,승마산,95.4,127.907325,35.0292917
477,삼봉산,299.0,127.7561611,35.0233139
478,늘봉산,268.9,127.7999528,35.0238083
479,할미봉,177.5,127.7759833,35.01405
480,태봉산,133.1,127.8675778,35.0209333
481,약산,277.9,127.0548639,36.4970056
482,연미산,237.7,127.1043278,36.4777056
483,묵방산,370.2,127.0189,36.4655972
484,채죽산,170.0,127.0922194,36.472425
485,한산,120.9,127.0995278,36.4531917
486,봉황산,148.5,127.1172472,36.452675
487,산성,112.4,127.1295611,36.4603583
488,장군산,354.8,127.19945,36.4658139
489,사마산,308.4,127.0360056,36.4287528
490,월성산(봉화대),313.2,127.1415917,36.4409278
491,명덕산,225.8,127.1913722,36.4288306
492,청벽산,277.3,127.2209556,36.4301389
493,태수산,128.5,127.096525,36.4110944
494,성화산,386.5,127.1584889,36.4011778
495,국사봉,392.1,127.2286861,36.4113778
496,백운산,181.5,127.0267417,36.3869278
497,운암산,292.0,127.0449972,36.37665
498,건지산,237.0,127.0575778,36.3848917
499,구절산,330.9,127.1035611,36.3951306
500,복귀산,185.2,127.1081583,36.3917778
501,고청봉,319.0,127.2451361,36.3927139
502,칠봉산,227.7,127.0127056,36.3689028
503,평안산,159.8,127.0185028,36.3541222
504,옥녀봉,162.3,127.0174139,36.3699722
505,성정산,237.1,127.0910972,36.3628389
506,연천봉,742.9,127.1915194,36.3500222
507,관음봉,765.8,127.2003472,36.3520111
508,삼불봉,777.1,127.2103306,36.3614417
509,수정봉,675.0,127.2062139,36.3646472
510,신선봉,649.0,127.2196528,36.3684444
511,장군봉,512.4,127.2464444,36.3711361
512,계룡산,846.5,127.2059806,36.3424333
513,쌀개봉,830.6,127.2038833,36.3459972
514,천왕봉,608.6,127.2320417,36.3486361
515,황적봉,660.9,127.2409472,36.347525
516,무동산,113.1,127.1508,36.3042028
517,중봉,179.5,127.23175,36.3143694
518,감투봉,194.8,127.0014444,36.2773778
519,호암산,185.0,127.0952639,36.2939778
520,노성산,348.9,127.1238,36.29575
521,국사봉,442.3,127.1974861,36.2790639
522,향적산,574.0,127.2018056,36.2930167
523,탑산,219.9,127.1651,36.2659083
524,천마산,287.2,127.242975,36.2655611
525,당마루산,148.5,127.0284528,36.4905611
526,부엉산,50.8,127.0934222,36.4584194
527,무학봉,316.5,127.2138222,36.4665167
528,장군봉,338.0,127.210175,36.4674889
529,두루봉,121.8,127.0141611,36.4284833
530,국수봉,102.2,127.0660944,36.4499361
531,방아달산,160.1,127.0874861,36.4387472
532,열미산,192.1,127.0992111,36.4310306
533,일락산,271.9,127.1080194,36.4453972
534,와우산,220.3,127.162975,36.4282667
535,연역기봉,126.3,127.0142472,36.4067944
536,개승산,172.5,127.059925,36.4219444
537,귀양봉,176.2,127.0612944,36.4056056
538,내산,111.4,127.0569306,36.4122389
539,통봉산,117.9,127.06465,36.4114889
540,건지산,130.8,127.1000194,36.4147278
